Рейтинг,Оценки,Отзывы,Цена,Заголовок,Описание,URL,ISBN,Год издания,Автор,Редактор,Язык,Направление литературы,Тираж,Количество страниц,Иллюстрации,Переплет,Бумага,Издательство,Тип графической книги,Художник,Серия,Формат,Переводчик,Направление науки,Направление,Вес,Темы обучения,Развиваемые навыки,Темы,Тип пособия,Предмет,Класс,Дополнительная упаковка,Направление психологии,Образовательная программа,Тематика,Религия,Премия,Изучаемый язык,Дополнительная информация,Комплект,Минимальный возраст,Подарочное издание,Вид экзамена,Материал страниц,Особенности,Высота,Высота книги,Линейка,Тип,Количество листов,Датированность,Размер,Обложка,Крепление,Жанр,Минимальный рекомендуемый возраст,Бренд,Ширина,Ширина книги,Энциклопедия,Возраст,Тема,Праздник,Литература,Знание,Литературная форма,Отечественная литература,Радуга,Зарубежная литература,Журнал,Месяц издания,Номер выпуска,Периодичность,Язык издания,Размещение,Год,Тема изучения,Материал,Комплект книг,Сборник,Носитель,АСПОЛ,Молодая гвардия,Проспект,Недатированный,Просвещение,Новое время,Тема выпуска,Наука,Длина книги,Производитель,Длина,В комплекте,Раскраска,Правда,Мысль,АСТ,Питание от батареек,Тип батареек
0.0,0,0,911,"Плакат электронный ""Учиться - Здорово!"", Микки Маус и друзья , русская озвучка","Учиться — это здорово! Вступайте в клуб Микки Мауса и вместе с любимыми героями знакомьтесь с буквами, геометрическими формами и цифрами. С ярким обучающим плакатом первые шаги в мире знаний превратятся в увлекательное приключение. Весёлые стихи, занимательные задания пробудят у малыша интерес к знаниям, он с удовольствием вовлечётся в захватывающую игру и поймёт, что учится — это действительно здорово! Сказочные возможности:33 кнопки с буквами русского алфавита;10 кнопок с цифрами; 9 кнопок с обучающими и игровыми функциями; 7 игровых кнопок; 6 задорных стихов; 10 стихов про цифры; регулировка громкости. Играем, учимся и веселимсяЗанимаясь вместе с Минни и Микки, малыш узнает буквы и цифры, разовьёт память, воображение, мелкую моторику рук, слуховое и зрительное восприятие. В изделии используются 3 батарейки типа ААА, в комплектацию не входят. Товар предназначен для детей старше 3 лет.",https://market.yandex.ru/product--plakat-elektronnyi-uchitsia-zdorovo-mikki-maus-i-druzia-russkaia-ozvuchka/839521813?nid=19471490&show-uid=16982601767825132057016838&context=search&uniqueId=1704577&sku=101188944331&cpc=q7G9NOth4KBxkqbqnr_KMlihfxqo3JZizBKnhADYuUQlsc78i9TMV2vLa1bdfo1OUjYMiQG_GfztZUnMlwIvaGw41qob8dlP5_Bgj9gvb3E30x_D8XBSvkqTk9eZNFMKTPDLuguKbID7a2Dsp3e0RfU53cgEhAXJSB4L1sIpAacWHVRMgU93Sj6kdjbizTzfSiUsVzAGerXg8TbphPBn2PS8BPEbtUrdm2vyxgxnXD0SpmXeFIfux1z2WHpeNt8ReQC57BK-FzhKhKOS7KyN8g%2C%2C&do-waremd5=aEdhPj9ElMtKLhmbYGlUmw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,электронный плакат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disney,,,,,,,,
0.0,0,0,907,Baby's Very First Ambulance Book,"A bright board book with wheels that really go round and round, ideal for small children who are fascinated by emergency vehicles and the noise they make. Inside is a gentle story of an everyday ambulance rescue by a team of friendly animals.",https://market.yandex.ru/product--baby-s-very-first-ambulance-book/965093745?nid=56461&show-uid=16982601767825132057016839&context=search&uniqueId=942132&sku=101329640764&cpc=q7G9NOth4KC-Hunsv1_G0Go5tJscJk7-g8wfynqSEtIRqnltcbDu6OVwiNg5ITfjWPOtieQlIfe9UJxWiQqXAHePvXaNlG7w0gTjVVSLxE1ehOqbTlDEVUnuh9Q2OFSbX9ZFFOQmJ4xEspkFThbWMsGXz3RZmrnXtxRcvzua-mDhXcinExTUKDOKSbTcXw0yCHfJkPO1OXE%2C&do-waremd5=2WApbbCxqFg3NdlAz-PTXw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9781474981118,2020,Fiona Watt,,английский,,,8,,мягкий,картон,Usborne,,Baggott S.,,17x19 cм,,,,338 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,748,"Умка 100 сонных сказок, стихов и колыбельных, твёрдый переплёт","Книга «100 сонных сказок, стихов и колыбельных» погрузит малыша в удивительный мир волшебства и доброты. Яркий сборник разнообразных произведений, которые можно почитать ребёнку на ночь, займёт достойное место в детской библиотеке. Красочные иллюстрации, интересные сказки и стихи обязательно заинтересуют малыша. Издание выполнено в твёрдом переплёте. В книгу вошли Известные сказки: «Репка», «Лиса Патрикеевна», «Гуси-лебеди», «Три медведя», «Волк и козлята» и др. Колыбельные. Потешки. Азбука в стихах В. Степанова. Читая книгу, ребёнок будет развивать: образное мышление, визуальное восприятие, внимание, память, речь. Объём: 96 стр. Формат: 19,7 × 25,5 см (А4). Материал: офсетная бумага. Рекомендовано детям от 1 года.",https://market.yandex.ru/product--umka-100-sonnykh-skazok-stikhov-i-kolybelnykh-tverdyi-pereplet/1401357442?nid=56461&show-uid=16982601767825132057016840&context=search&uniqueId=7808072&sku=101392561757&cpc=q7G9NOth4KBGlH4atqkUVTqpA8z3D7X10qQc1ZgIUfTKpjVXF8UAgUMwAevTaj_8EzllIlwpU363O5ClU8nveQN5jpSBBdYWQ-cwHQvvKOJYdh42tbJGEAtsoghhxyQmEWwlXEMbOtXzPJzO1CFyz49gANyqu9kDan7WOZs4xmhzV-xAvCQJHsgAw-0-OPcWOTI0GCFs5mI%2C&do-waremd5=nBJiwIItHReFqvoR50SU_w&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,,Ушинский К. Д.,,,,,84,,твердый,офсетная,Умка,,,,,,,,,,,,,,,,,,,,,,,,1 год,,,,,,,,,,,,,,Сказка,,,25.50 cм,25.50 cм,,,,,,,"потешки, сказки",,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,
0.0,0,0,345,Эгмонт Россия Сказочные истории «Тачки. Встреча друзей»,Вид: Сказка. Возраст: От 6 лет. Количество страниц: 24. Набор: Нет. Размер упаковки: 29 см x 22 см x 0 см. Страна производителя: Россия. Температурное ограничение: Нет. Магазин: rusexpress.,https://market.yandex.ru/product--skazochnye-istorii-tachki-vstrecha-druzei/1401357444?nid=56461&show-uid=16982601767825132057016841&context=search&uniqueId=62631366&sku=101392561759&cpc=q7G9NOth4KBJ8afpwNcYAiyEotDzn3RuQqSXoaZ_fEfw7MEUvFOIp1X9S0l9jxKpOjA_pehN0N_iCHSybuakUvOzUbPwfFv227lGT_OMrRuO1gf-ZBkGyIFa44vpkXknRhaQETbovAA-OnMhc0re8ZgQ-ROKj7xqPrivq_LtzokJ-rRFk5lf9sFiVZvipG2DiGTif0P4GiW_xV8tw_RcRje4psD42M9xSe3MTLBRJqrC_F1V5r6ytjx0t5aQ3dcgv5V68pZevYo%2C&do-waremd5=Jgw6Kxyl7CTexfncVRFawA&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785447161002,,,,,,,24,,мягкий,,ЛЕВ,,,Сказочные истории,,,,,,,,,,,,,,,,,,,,,6 лет,,,,,,,,,,,,,,"сказки, сказки, Сказка",,,29 cм,29 cм,,,,,,,сказки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,1287,Рагнарек: сказание о богах. Серенсен В. Городец,"В книге датского писателя и философа Вилли Сёренсена (1929-2001) развернута впечатляющая своим размахом картина мироздания, какой она представлялась древним скандинавам. Автор использует традиционные мифологические сюжеты, известные из Старшей и Младшей Эдды, но по-своему толкует их. Он призывает современников к вещи одновременно простой и сложной, но единственно возможной и необходимой - к сохранению мира во всех смыслах этого слова. Ко времени выхода в свет книги ""Рагнарёк"" Сёренсен уже успел заявить о себе как о серьезном прозаике, авторе нескольких сборников новелл в духе абсурдизма и ряда серьезных литературно-философских работ, в том числе сборника эссе о литературе и фольклоре ""Поэты и демоны"" (1959), а также книг о Сёрене Киркегоре (1961), Фридрихе Ницше (1963), Франце Кафке (1968), Артуре Шопенгауэре (1969) и Сенеке (1976). Писатель является лауреатом многих литературных премий: Большой премии Датской академии (1962), Литературной премии Северного Совета (1974), Премии имени X. К. Андерсена (1983) и Литературной премии Шведской академии (1986), которую также называют Малой нобелевской премией. Книга ""Рагнарёк"" переведена на основные европейские языки.",https://market.yandex.ru/product--serensen-v-ragnarek/1781152029?nid=20598910&show-uid=16982601767825132057016842&context=search&uniqueId=18155838&sku=1000084489&cpc=q7G9NOth4KDoUHfVc5dIMagI9PJjkREdFHYzjaUC0da0UXYyF-iog439hiRMsePIbT13f6hqVaqo2SGqWKSMZ44sxOzrKz-L1CcQCJjqeIrmzJDNQcL7eBw4NH5lI9WdgkeURWm3FOGB1IasPm7mClgThp0hbstS4xaU82veZPz8-1Q0bpQD2g-y6u9hgA1UyuZr0pmuhJ7Q5H3JVdDnEggxRWzf7eKQ-kiUGpcv-mTmzsI4UorTDAdGnaV4--FM7qBuDLxlI9fyaQYbWHa3DQ%2C%2C&do-waremd5=W2B1ViEtYwG9BwDNbtriUg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-907220-83-6,2021,Серенсен В.,,русский,,2000 шт.,144,цветные,твердый,офсетная,Городец,,Ирбит А.,,,Ерхов Б.,,современная проза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,1385,Жестокий принц. Блэк Х.,"В комплекте 1 шт.Джуд ненавидит фейри и одновременно преклоняется перед ними. Когда ей было семь, её родителей хладнокровно убили. Девушку воспитали фейри. Она выросла при дворе одного из самых могущественных и жестоких генералов армии Верховного короля фейри. У него она научилась превосходно владеть мечом. Но чтобы избежать постоянных насмешек со стороны волшебных обитателей страны, которые презирают людей, ей нужно гораздо больше. Джуд нужна власть. Но для этого придётся сразиться с Карданом, самым вероломным и коварным принцем Фейриленда.",https://market.yandex.ru/product--zhestokii-prints-blek-kh/1875765712?nid=20598910&show-uid=16982601767825132057016843&context=search&uniqueId=91691460&sku=101816284632&cpc=q7G9NOth4KAI41dZUB5T38z2F95njuE7If5ycQle6jmiSX4zvZ0sex7TUCupwxNh3a2R9S_aI_0bPs_Y6emacSizZWNKwkbChf0aLlkIoZfWY9lXPz3Oy6pJ_C1m4vDhC6bPiY8GRTS7LJxJaxTaTf885U0qQu0wu3OQ9rwrS0wvivZZkqhkvSphz1hxA2dvX02_vBuQzoA%2C&do-waremd5=Hn3o6_arWv7WDvpd-u-t7Q&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,2021,Блэк Х.,,,,,480,,твердый,,ЭКСМО,,,,,,,фантастика и фэнтези,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,17498,"Книга ""Рубайат""","Выдающийся персидский астроном, математик, физик и философ, Омар Хайям - автор знаменитых рубаи, прославляющих мудрость, любовь, красоту.Переплёт ручной работы из натуральной кожи.Форзац из дизайнерской бумаги.4 бинта на корешке, ручной обработки.Каптал золотой из натуральной кожи.Обрез блока торшонированный золотой.Тиснение блинтовое, золотой, серебряной ицветной фольгой.Ляссе.",https://market.yandex.ru/product--kniga-rubaiat-ekskliuzivnoe-podarochnoe-izdanie-v-naturalnoi-kozhe/904148235?nid=20598910&show-uid=16982601767825132057016844&context=search&uniqueId=901181&sku=101264203834&cpc=q7G9NOth4KAmJbEOz78GlY1M1Yi7orRqUVuF1CQbPYJJC-5VFObHidSUivJwYyrV1cafywG4wLQT9BIqpH4oPiQf86GUlc_OJ_m6NRx7tFywvbaR0M0XhPVVCuPS9pNuyZowDtBR2dYpY7V40bllHM8YI6KlxUSZAsoixY6SHRE4ktYZ_nkXRN-iPyghsPh3ejQQGVNZvVhmsXqghKoPiQ02gXeJ7-mAdEE72lJr03aiISSgc2jv_Y4jjV3Z583zuu-0r1KpEg7PqnOezd6SPA%2C%2C&do-waremd5=whVBYtSn-qe8QujmQ3YzZg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,,,Омар Хайям,,русский,,,360,,,мелованная,Алькор,,,,,,,"афоризмы, цитаты, изречения, поэзия, эпос и фольклор, юмор и сатира",,,,,,,,,,,,,,,Обложка книги выполнена вручную из высококачественной натуральной кожи растительного дубления,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,718,Сказки в стихах (сборник),"Сказки в стихах (сборник). Задумываетесь о том, как привить ребёнку любовь к чтению? Рецепт прост: возьмите издание с красивыми картинками, захватывающей историей и милыми героями.Сказки в стихах (сборник) — отличный вариант для тех родителей, которые привыкли окружать своего малыша только лучшими и качественными вещами. За такой книжкой ваш ребёнок проведёт время с пользой и удовольствием, узнает много нового и интересного.(167525)",https://market.yandex.ru/product--skazki-v-stikhakh-sbornik/1401353452?nid=56461&show-uid=16982601767825132057016845&context=search&uniqueId=1229546&sku=101392556777&cpc=q7G9NOth4KA7_N9ovNcvTCz_C0zDdfZrbA6Y3LolvZuV1JI6-f6ff4j7CfLZdu3Q-goa1mhOkVWBEJI4n84_g5B5VfaVN3d94o2YhSU2YwUO__9mu2Ixed8E0UWGqO456XvxXyh3epAwPlQavkMuecAPAokLctJeZqaCnT4BJJC9age9ByuRqa3RYZeBku2GbliDPxU8xew%2C&do-waremd5=bOvJJFiyXm7jLCJmgKz-7Q&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-9781-1101-9,"2016, 2018","Барто А., Федорова В.",,,,20000 шт.,48,,твердый,,Самовар,,,,16.60x11.20 cм,,,,100 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сказки,,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,
0.0,0,0,1071,"Осторожно, Медведь: сказки","В книгу вошли две забавные и добрые сказки для детей младшего дошкольного возраста, созданные современной немецкой художницей Даниэлой Кулот (р. 1966). Даже самые маленькие читатели, а скорее, слушатели, смогут ассоциировать себя с главными героями, сопереживать их приключениям и порадоваться счастливому финалу.",https://market.yandex.ru/product--ostorozhno-medved-skazki/969468123?nid=56461&show-uid=16982601767825132057016846&context=search&uniqueId=18155838&sku=101334349734&cpc=q7G9NOth4KD3R0tTj8_E41W-r6_-t3RhYRWYWrSG2QU7KpfzfuDmWu3QktCrwxstOfVxQfA21QqFkGY8XNHKxab_KD6w9DzEI4WdpeoMj3k_To1CpUck0tZCmdg7OkPAwOoG35hcRLh2yq8obWB1L9jPgNoFCQ6hBJekxBoE9NQVbS3x0DQTjum4JOBWZ4uHgrE533gRf5EzrvMi2OJS-w8-WRKduut9uoCzRAWHoFvJx8GOlnTuUkiXsrl7m9C5TjCJhBNz_cs%2C&do-waremd5=9vWdVVUMkulGb_B_rN3MLw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,9785000414071,"2021, 21",Кулот Д.,,русский,,3000 шт.,48,,мягкий,,Мелик-Пашаев,,,,22x29 cм,,,,288 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,зарубежная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,735,Украинский Чапаев. Жизнь и смерть легендарного комдива Николая Щорса,"Книга посвящена короткой, но героической жизни Николая Александровича Щорса. Среди имен легендарных героев гражданской войны имя Щорса стоит рядом с именем Чапаева. Оба погибли почти одновременно, в 1919 году: Щорс - 30 августа на Украине, около станции Коростень, Чапаев - 5 сентября на р. Урал, под Лбищенском. На одном из заседаний Президиума ЦИК СССР в 1935 году Сталин назвал Щорса ""украинским Чапаевым"". Эти слова Сталина нашли горячий отклик в сердцах многих тысяч ветеранов гражданской войны, которые под командованием 24-летнего начдива сражались на Украине против немецких захватчиков, гетманских и петлюровских контрреволюционных полчищ. Большевики Украины бережно собирали каждую крупинку воспоминаний о своем народном герое, об одном из создателей регулярной Красной армии на Украине, бесстрашном полководце, всем сердцем преданном партии Ленина-Сталина большевике. Автор впервые раскрывает подлинные обстоятельства гибели легендарного комдива Н. Щорса. Книга во многом удовлетворяет запрос молодежи, читателей всех поколений на историческую правду, которую ныне переписывают и оскверняют ложью.",https://market.yandex.ru/product--ukrainskii-chapaev-zhizn-i-smert-legendarnogo-komdiva-nikolaia-shchorsa/894490025?nid=56461&show-uid=16982601767825132057016847&context=search&uniqueId=22088444&sku=101255250794&cpc=q7G9NOth4KDH6L-NOAde5Oj68fex46TAp_gRkQ8CGLgUSORkdpZeO9NOeASKL65P-981rv6YlJkpbBQXHCa9uIijBdkId8R0MPSrGSvf2_HDJPNn9nL4TqSNK2gaNVlwPeKrHBTyCJkMEVUsZRn2rvF0pZkqUzBou4D83P8YAZkj4bIwLbl6Uc6pXTBvtjOaGfJMsRJ5yDe1MHv2pMpj93ldtOiUWcAvWNRjooMNe65wHf8J0Fl4r0lCr0NpAkD4KAEFXGtVOygMGABgkmAEjQ%2C%2C&do-waremd5=J0PzvQXb5UIFD5arV9rm0w&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-00180-101-6,2021,Никитчук И.И.,,,,,352,,твердый,офсетная,Родина,,,,13x20 cм,,,,422 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,489,Литературное чтение. Тестовые задания. 3 класс. ФГОС,Тестовые задания разработаны в соответствии с программой обучения чтению в начальной школе и подходят к любым учебникам по предмету «Литературное чтение».,https://market.yandex.ru/product--kubasova-o-v-literaturnoe-chtenie-testovye-zadaniia-3-klass-fgos/1781195575?nid=18540471&show-uid=16982601767825132057016848&context=search&uniqueId=720911&sku=1012362027&cpc=q7G9NOth4KBr16jodni9dmnMBTitrh6Pf6XtgGSJOQPCeM-231Er410r2fJ8fXwVF7xfTKbT0VBZ_-i4QkScTzxDF-irA7OuuxDzcW8hY-5DDriTExW60DtqJz3iBO9mOBI211JJFMPvnE5ROnli7M1EfjG2RXApQYEtFm7dCQkKjPKjqNGZSxHjfdFQuzF49kg-ae2FS25QYBZUDYKY-a4YqAj8u6-kx6yENT217auZqvpGUayKwfmvoqKYmR1AqatWYENf0PQ%2C&do-waremd5=RGADBVt8ctSiz0pOGCmtHg&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,978-5-418-01006-3,"2015, 2016, 2018",Кубасова О.В.,,русский,,,80,,,,Ассоциация XXI век,,,Гармония,,,,школьникам,,,,,,литература,3 класс,,,Гармония,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,0,6940,"Джонатан Коу ""Клуб Ракалий""","Эпоха семидесятых, Британия. Безвкусный английский фаст-фуд и уродливая школьная форма; комичные рок-музыканты и гнилые политики; припудренный лицемерием расизм и ощущение перемен - вот портрет того времени, ирреального, трагичного и немного нелепого. На эти годы пришлось взросление Бена и его друзей, героев нового романа современного английского классика Джонатана Коу. Не исключено, что будущие поколения будут представлять себе Англию конца двадцатого века именно по роману Джонатана Коу. Но Коу - отнюдь не документалист, он выдумщик и виртуоз сюжета. В новом романе, как и в "" Доме сна"", писатель плетет сложнейшее сюжетное кружево, распадающееся на множество нитей, которые в финале образуют ясную, и четкую и абсолютно неожиданную картину. "" Клуб ракалий"" не заигрывает с читателем, в нем нет шаблонных ходов и банальностей, это большой роман в лучших традициях английской литературы, редкое удовольствие для настоящего читателя.",https://market.yandex.ru/product--dzhonatan-kou-klub-rakalii/1781019770?nid=20598910&show-uid=16982601767825132057016849&context=search&uniqueId=73154182&sku=2170932&cpc=q7G9NOth4KASspsszjGZ3If73pfgqmbr6HNH0vNA38K0rHQJRd_PHFexPwaJkzhbf-UluoUe0AxFYnhNaUb30DTCdJ9JwDaYbaR8pVpVZhxkpX_ljFi81S_nV7UnLMnKzELhq-pB2u5Mdh1s3Or2u8qlRjHviI3HdR1J6vHv48R0xGb4Jvolgg_gpXOzn4EtLl0jLWkACfA%2C&do-waremd5=ut94tjnrEakWx88Hj_sepw&rs=eJwdUCurQkEY3KNJ_AWCwpoNos0XHE3CRRAxXuEk8T9YDj7AICabZbMoaLD4wHODiE0QwwXBgyI2g3AV292ZMgwz3zfz7cYb3qKxMYSoZjRa5ZRG55bWaF4WGu1jUqPbg-I84YoRdNMm_4EuOkAVXGK-wK07FHcCbs3pRuCqPpUjuPwCihJ6zTBzWnDllvMzoP2dQM6H90yB1h963foafAdXxrhbYeMQmWaemW_qPnDZBKo0bzDoRtGlunxvm10v9h740jHdAXv3_IER-S8nT9iyrrxHUg-toOfY6GG-n5OKaQEmn_k_Nmey4M6DLbXUP1YoiHA%2C,5-86471-407-0,2008,Джонатан Коу,,русский,,,640,,твердый,,Фантом Пресс,,,,84x108/32,,,современная проза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
